Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,potency_label,Representative_pIC50,Flag resistance,Flag Groups,potency_bin,mol_freq,strain_freq,strain_norm
CHEMBL410474,,,478.04,1.0,7.13,4o,Clc1ccc(C(c2ccccc2)(c2ccc(CN3CCCC3)cc2)n2cnc3ccccc32)cc1,IC50,'=',379.0,nM,6.42,,,UO_0000065,0,CHEMBL934479,organism-based format,,CHEMBL1142373,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 by [3H]hypoxanthine incorporation,3D7,6.42,active,6.42,chloroquine sensitive,CQS,6-7,4,7375,3D7
CHEMBL152570,,,458.09,0.0,4.87,16b,Clc1ccc2c(NCCCN3CCN(CCCNCC4CCCCC4)CC3)ccnc2c1,IC50,'=',43.0,nM,7.37,,,UO_0000065,0,CHEMBL758311,organism-based format,,CHEMBL1136806,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against Plasmodium falciparum FcB1,FcB1,7.37,active,7.37,,,≥7,2,748,FcB1
CHEMBL472940,,,350.46,1.0,6.2,1h,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,IC50,'=',6600.0,nM,5.18,,,UO_0000065,0,CHEMBL944269,organism-based format,,CHEMBL1140898,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum W2 by [3H]hypoxanthine uptake,W2,5.18,inactive,5.18,chloroquine sensitive,CQS,5-6,2,5923,W2
CHEMBL111325,,,318.42,0.0,3.65,12,CC1C2c3ccccc3C(c3ccccc32)C1C(=O)/N=C/N(C)C,IC50,'=',51000.0,nM,4.29,,,UO_0000065,0,CHEMBL759672,organism-based format,,CHEMBL1135512,1,Scientific Literature,J Med Chem,,In vitro inhibitory activity against multidrug-resistant Plasmodium falciparum W2 Indochina,W2,4.29,inactive,4.29,multidrug resistant,MDR,≤5,1,5923,W2
CHEMBL462861,,,218.35,0.0,4.49,1d,c1ccc(SSc2ccccc2)cc1,IC50,'=',6700.0,nM,5.17,,,UO_0000065,0,CHEMBL944269,organism-based format,,CHEMBL1140898,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum W2 by [3H]hypoxanthine uptake,W2,5.17,inactive,5.17,chloroquine sensitive,CQS,5-6,2,5923,W2
CHEMBL462861,,,218.35,0.0,4.49,1d,c1ccc(SSc2ccccc2)cc1,IC50,'=',5000.0,nM,5.3,,,UO_0000065,0,CHEMBL944270,organism-based format,,CHEMBL1140898,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum D6 by [3H]hypoxanthine uptake,D6,5.3,inactive,5.3,chloroquine resistant,CQR,5-6,2,2297,D6
CHEMBL3329585,,,554.62,1.0,3.66,7k,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)CO[C@H]1CC(=O)/C=C/c1cccc(NC(=S)Nc2ccccc2)c1,IC50,'=',4200.0,nM,5.38,,,UO_0000065,0,CHEMBL3363210,organism-based format,,CHEMBL3351535,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against Plasmodium falciparum 3D7 after 72 hrs by SYBR Green fluorescence assay,3D7,5.38,inactive,5.38,,,5-6,2,7375,3D7
CHEMBL3410470,,,643.53,3.0,5.57,5cB,CCOC(=O)ON(C)C(=O)COC(c1ccc(F)c(F)c1)P(=O)(OCOC(=O)OC(C)(C)C)OCOC(=O)OC(C)(C)C,IC50,'=',23.0,nM,7.64,,,UO_0000065,0,CHEMBL3411607,organism-based format,,CHEMBL3407342,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against blood stage forms of chloroquine-sensitive Plasmodium falciparum 3D7 incubated for 3 days by HRP2 detection based ELISA method,3D7,7.64,high_potency,7.64,blood stage forms of chloroquine sensitive,CQS,≥7,3,7375,3D7
CHEMBL152570,,,458.09,0.0,4.87,12a,Clc1ccc2c(NCCCN3CCN(CCCNCC4CCCCC4)CC3)ccnc2c1,IC50,'=',43.0,nM,7.37,,,UO_0000065,0,CHEMBL1056033,organism-based format,MRC5,CHEMBL1153593,1,Scientific Literature,Eur J Med Chem,CHEMBL3308499,Antimalarial activity against Plasmodium falciparum FcB1/Columbia erythrocytes infected human MRC5 cells,FcB1,7.37,active,7.37,,,≥7,2,748,FcB1
CHEMBL611329,,,702.86,2.0,4.78,14,C[C@H]1[C@@H](OCC(CO[C@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)OS(C)(=O)=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',11.8,nM,7.93,,,UO_0000065,0,CHEMBL1071306,organism-based format,,CHEMBL1153083,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against Plasmodium falciparum W2 infected in RBCs by parasitic LDH release assay,W2,7.93,high_potency,7.93,,,≥7,2,5923,W2
CHEMBL8,CIPROFLOXACIN,4.0,331.35,0.0,1.58,CIP,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,IC50,'=',24900.0,nM,4.6,,,UO_0000065,0,CHEMBL945688,organism-based format,,CHEMBL1137635,1,Scientific Literature,Antimicrob Agents Chemother,,Antimalarial activity as 2nd generation ring-stage chloroquine-resistant Plasmodium falciparum W2 after 48 hrs by flow cytometry,W2,4.6,inactive,4.841667,as 2nd generation ring stage chloroquine resistant,CQR,≤5,32,5923,W2
CHEMBL1236460,THIOSTREPTON,-1.0,1664.92,,,Thiostrepton,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=N[C@@H]3c4csc(n4)[C@H]4NC(=O)c5csc(n5)[C@H]([C@](C)(O)[C@@H](C)O)NC(=O)[C@H]5CSC(=N5)/C(=C/C)NC(=O)[C@H]([C@@H](C)O)NC(=O)c5csc(n5)[C@]3(CC2)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)CC)N[C@@H]2C=Cc3c([C@H](C)O)cc(nc3[C@H]2O)C(=O)O[C@@H]4C)n1)C(N)=O,IC50,'=',174.7,nM,6.76,,,UO_0000065,0,CHEMBL995288,organism-based format,,CHEMBL1156420,1,Scientific Literature,J Biol Chem,,Antimalarial activity after 96 hrs against azithromycin-resistant Plasmodium falciparum Dd2 by [3H]hypoxanthine uptake,Dd2,6.76,active,6.323333,azithromycin resistant,AZRR,6-7,8,3864,Dd2
CHEMBL34259,METHOTREXATE,4.0,454.45,0.0,0.27,NCGC00025060-02,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,IC50,'=',31.62,nM,7.5,,,UO_0000065,0,CHEMBL1267249,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum GB4 after 72 hrs by SYBR green assay,GB4,7.5,high_potency,8.95,,,≥7,18,614,GB4
CHEMBL103,PROGESTERONE,4.0,314.47,0.0,4.72,NCGC00022185-03,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,'=',10000.0,nM,5.0,,,UO_0000065,0,CHEMBL1267246,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum 7G8 after 72 hrs by SYBR green assay,7G8,5.0,inactive,5.0,,,≤5,6,892,7G8
CHEMBL253715,,,396.97,0.0,4.44,4f,CCN(CC)CCCNc1c2ccccc2[n+](C)c2c1[nH]c1ccccc12,IC50,'=',32.0,nM,7.5,,,UO_0000065,0,CHEMBL945976,organism-based format,,CHEMBL1141474,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2,W2,7.49,active,7.49,chloroquine resistant,CQR,≥7,8,5923,W2
CHEMBL3103527,,,487.99,1.0,6.26,16,Cc1ccc(C(=O)/C=C/c2ccc(C(=O)N(C)CCCNc3ccnc4cc(Cl)ccc34)cc2)o1,IC50,'=',460.0,nM,6.34,,,UO_0000065,0,CHEMBL3106509,organism-based format,,CHEMBL3102808,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against Plasmodium falciparum W2 after 48 hrs by LDH colorimetric assay,W2,6.34,active,6.34,,,6-7,2,5923,W2
CHEMBL3109542,,,393.49,0.0,3.65,"8p, CWHM-117",COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCCCC3)C2=O)cc1,IC50,'=',463.0,nM,6.33,,,UO_0000065,0,CHEMBL3110821,organism-based format,,CHEMBL3108756,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in RBV after 72 hrs by SYBR Green I-based fluorescence method,3D7,6.33,active,6.33,chloroquine sensitive,CQS,6-7,2,7375,3D7
CHEMBL3109539,,,351.41,0.0,2.48,8l,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CC3)C2=O)cc1,IC50,'=',4110.0,nM,5.39,,,UO_0000065,0,CHEMBL3110821,organism-based format,,CHEMBL3108756,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in RBV after 72 hrs by SYBR Green I-based fluorescence method,3D7,5.39,inactive,5.39,chloroquine sensitive,CQS,5-6,1,7375,3D7
CHEMBL93286,,,438.02,1.0,7.27,9g,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(C2CCCCC2)c1O,IC50,'=',6.8,nM,8.17,,,UO_0000065,0,CHEMBL763697,organism-based format,,CHEMBL1132310,1,Scientific Literature,J Med Chem,,In vitro inhibitory activity against chloroquine-sensitive Plasmodium falciparum HB3,HB3,8.17,high_potency,8.17,chloroquine sensitive,CQS,≥7,2,983,HB3
CHEMBL245042,,,282.48,0.0,4.06,M64,CC(=N)NCCCCCCCCCCCCNC(C)=N,IC50,'=',4.0,nM,8.4,,,UO_0000065,0,CHEMBL905875,organism-based format,,CHEMBL1143795,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum FCM29,FcM29,8.4,high_potency,8.4,,,≥7,5,163,FcM29
CHEMBL424889,,,481.95,1.0,6.6,15t,CCCN(CCCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC(F)(F)F)ccc1O,IC50,'=',5.9,nM,8.23,,,UO_0000065,0,CHEMBL866011,organism-based format,,CHEMBL1137430,1,Scientific Literature,J Med Chem,,Antimalarial activity against multidrug-resistant Plasmodium falciparum W2,W2,8.23,high_potency,8.23,multidrug resistant,MDR,≥7,2,5923,W2
CHEMBL424889,,,481.95,1.0,6.6,15t,CCCN(CCCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC(F)(F)F)ccc1O,IC50,'=',2.4,nM,8.62,,,UO_0000065,0,CHEMBL866010,organism-based format,,CHEMBL1137430,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7,3D7,8.62,high_potency,8.62,chloroquine sensitive,CQS,≥7,2,7375,3D7
CHEMBL1290655,,,514.94,2.0,6.09,10d,COc1cc(C(=O)/C=C/c2ccc(F)cc2)ccc1OCc1cn(-c2ccnc3cc(Cl)ccc23)nn1,IC50,'=',6900.0,nM,5.16,,,UO_0000065,0,CHEMBL1291254,organism-based format,,CHEMBL1287748,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 after 48 hrs by FACS analysis in presence of 10 % human serum,W2,5.16,inactive,5.16,chloroquine resistant,CQR,5-6,3,5923,W2
CHEMBL427372,,,375.27,0.0,4.22,"R13C11, 12",CC(C)(C)c1ccc(C(=O)N/N=C/c2cc(Br)ccc2O)cc1,IC50,'=',1700.0,nM,5.77,,,UO_0000065,0,CHEMBL863927,organism-based format,,CHEMBL1147781,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum FcB1,FcB1,5.77,inactive,5.77,chloroquine resistant,CQR,5-6,1,748,FcB1
