Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Unnamed: 26,Unnamed: 27,Unnamed: 28,verify_strain,stand_strain,unique_chemicals,stand_strain_bin,pIC50
CHEMBL4246869,,,380.92,1.0,5.36,25,Clc1ccc(-c2ccc(CNCC3CCNCC3)o2)c(-c2ccccc2)c1,IC50,'=',210.0,nM,6.68,,,UO_0000065,0,CHEMBL4231442,organism-based format,,CHEMBL4229360,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against gametocytes of Plasmodium falciparum NF54 infected in Anopheles mosquitoes assessed as decrease in infection intensity measured at baseline infection intensity of 30 oocysts/midgut pre-treated with compound for 24 hrs before feeding and measured 8 days post infection by standard membrane feeding assay,,,,NF54,NF54,,NF54,6.68
CHEMBL4577551,,,351.43,0.0,3.98,2d,O=C(O)c1ccccc1SCc1cn(C/C=C/c2ccccc2)nn1,IC50,'=',65330.0,nM,4.18,,,UO_0000065,0,CHEMBL4312172,organism-based format,,CHEMBL4311937,1,Scientific Literature,Medchemcomm,,Antimalarial activity against synchronized ring stage Plasmodium falciparum 3D7 transfected with nano-luciferase assessed as parasite growth inhibition after 72 hrs by Nano-Glo luciferase assay,,,,3D7,3D7,,3D7,4.18
CHEMBL3596399,,,242.26,0.0,2.36,9c,Cn1cc(-c2cccc(F)c2)c2c(N)ncnc21,IC50,'<',31000.0,nM,,,,UO_0000065,0,CHEMBL3598574,organism-based format,,CHEMBL3596135,1,Scientific Literature,Medchemcomm,,Antimalarial activity against synchronised early trophozoite stage of Plasmodium falciparum 3D7 assessed as parasite growth inhibition measured after two invasion cycles by flow cytometric analysis,,,,3D7,3D7,,3D7,4.51
CHEMBL4097624,,,605.49,2.0,7.68,32,CCN(CC)Cc1cc(/C=N/N=C(\N)CC(O)c2cc3c(Cl)cc(Cl)cc3c3cc(C(F)(F)F)ccc23)ccc1O,IC50,'=',453.0,nM,6.34,,,UO_0000065,0,CHEMBL4013661,assay format,,CHEMBL4011644,1,Scientific Literature,J Med Chem,,Gametocytocidal activity against transgenic GFP-fused Plasmodium falciparum NF54 early stage gametocytes after 72 hrs by Mitotracker Red CMH2XRos staining based confocal microscopic method,,,,NF54,NF54,,NF54,6.34
CHEMBL1083769,,,337.81,0.0,3.55,NITD678,C[C@H]1Cc2c([nH]c3ccccc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,IC50,'=',62.63,nM,7.2,,,UO_0000065,0,CHEMBL1248671,organism-based format,,CHEMBL1240532,1,Scientific Literature,Science,,Antimalarial activity against Plasmodium falciparum Dd2 containing attB site inserted in parasite genome and using EF1-alpha promoter driven expressing ATP4 D1247Y mutant after 72 hrs by SYBR green based fluorescence assay,,,,Dd2,Dd2,,Dd2,7.2
CHEMBL4787608,,,428.41,0.0,3.62,9i,Nc1ncc(-c2ccc(C(=O)N3CC[C@@H](O)C3)cc2)nc1-c1ccc(C(F)(F)F)cc1,IC50,'=',137.0,nM,6.86,,,UO_0000065,0,CHEMBL4719503,organism-based format,,CHEMBL4715789,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against late stage (IV/V) Plasmodium falciparum NF54 gametocytes incubated for 48 hrs by luciferase reporter gene assay,,,,NF54,NF54,,NF54,6.86
CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,CQ,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',20.0,nM,7.7,,,UO_0000065,0,CHEMBL4223065,cell-based format,,CHEMBL4219189,1,Scientific Literature,Bioorg Med Chem Lett,,Inhibition of chloroquine sensitive Plasmodium falciparum MRC-02 schizont stage infected in human erythrocytes assessed as reduction in bacterial growth after 24 hrs by Giemsa staining based assay,,,,MRC-02,MRC-02,,MRC-2,7.7
CHEMBL4283952,,,417.47,0.0,3.4,1j,Cc1ccc(NC(=O)CN(Cc2ccc(C(=O)NO)cc2)C(=O)c2ccccc2)cc1,IC50,'=',9410.0,nM,5.03,,,UO_0000065,0,CHEMBL4268540,organism-based format,,CHEMBL4265952,1,Scientific Literature,Eur J Med Chem,,Gametocytocidal activity against synchronized Plasmodium falciparum NF54 mature stage 5 gametocytes after 48 hrs by ATP bioluminescence assay,,,,NF54,NF54,,NF54,5.03
CHEMBL500482,,,558.54,2.0,4.88,6,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)c([C@@H]4C(O)c5c(O)cc(O)cc5O[C@H]4c4ccc(O)cc4)c3O2)cc1,IC50,'=',6000.0,nM,5.22,,,UO_0000065,0,CHEMBL980501,organism-based format,,CHEMBL1157289,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum Ghana by LDH reporter assay,,,,Ghana,GHA,,GHA,5.22
CHEMBL4246869,,,380.92,1.0,5.36,25,Clc1ccc(-c2ccc(CNCC3CCNCC3)o2)c(-c2ccccc2)c1,IC50,'=',43.0,nM,7.37,,,UO_0000065,0,CHEMBL4231440,organism-based format,,CHEMBL4229360,1,Scientific Literature,Eur J Med Chem,,Gametocytocidal activity against Plasmodium falciparum NF54 HGL gametocytes assessed as inhibition of parasite viability after 72 hrs by ONE-Glo reagent based luminescence assay,,,,NF54 HGL,NF54 HGL,,NF54-HGL,7.37
CHEMBL1782159,,,307.83,0.0,1.71,16.2,Cl.NC1=NC2(CCCCC2)NC(NCc2ccccc2)=N1,IC50,'=',9890.0,nM,5.0,,,UO_0000065,0,CHEMBL1785111,cell-based format,,CHEMBL1781907,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine and cycloguanil-resistant Plasmodium falciparum FCR-3/Gambia ring stage infected in human red blood cells assessed as inhibition of [3H]-hypoxanthine incorporation incubated 24 hrs before addition of [3H]-hypoxanthine measured after 24 hrs,,,,FCR-3,FcR3,,FcR3,5.0
CHEMBL1782192,,,428.75,0.0,3.32,16.8,Cl.NC1=NC(c2ccccc2)NC(NCCCOc2ccc(Cl)c(Cl)c2)=N1,IC50,'=',6730.0,nM,5.17,,,UO_0000065,0,CHEMBL1785111,cell-based format,,CHEMBL1781907,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine and cycloguanil-resistant Plasmodium falciparum FCR-3/Gambia ring stage infected in human red blood cells assessed as inhibition of [3H]-hypoxanthine incorporation incubated 24 hrs before addition of [3H]-hypoxanthine measured after 24 hrs,,,,FCR-3,FcR3,,FcR3,5.17
CHEMBL1782191,,,462.3,0.0,3.69,16.18,Cl.NC1=NC(c2ccc(C(F)(F)F)cc2)NC(NCCCOc2ccc(Cl)cc2)=N1,IC50,'=',5540.0,nM,5.26,,,UO_0000065,0,CHEMBL1785111,cell-based format,,CHEMBL1781907,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine and cycloguanil-resistant Plasmodium falciparum FCR-3/Gambia ring stage infected in human red blood cells assessed as inhibition of [3H]-hypoxanthine incorporation incubated 24 hrs before addition of [3H]-hypoxanthine measured after 24 hrs,,,,FCR-3,FcR3,,FcR3,5.26
CHEMBL4743418,,,399.54,0.0,4.44,"2-A, Single Enantiomer",Oc1ccc(CN2CC(CNc3ccccc3)C3(C2)CN(c2ccccc2)C3)cc1,IC50,'=',405.0,nM,6.39,,,UO_0000065,0,CHEMBL4737828,organism-based format,,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against asexual stage Plasmodium falciparum NF54 assessed as inhibition of male gametes formation in ookinete medium observed at day 14 in presence of 10% human serum by haemocytometer based light microscopic analysis,,,,NF54,NF54,,NF54,6.39
CHEMBL4764956,,,427.55,0.0,4.01,"1-A, Single Enantiomer",O=C(Cc1ccc(O)cc1)N1CC(CNc2ccccc2)C2(C1)CN(c1ccccc1)C2,IC50,'=',44.0,nM,7.36,,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,7.36
CHEMBL4756502,,,506.53,1.0,4.3,88,N#Cc1cc(CC(=O)N2CC(CNc3ccc(F)cc3)C3(C2)CN(c2cc(F)cc(F)c2)C3)ccc1O,IC50,'=',3100.0,nM,5.51,,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,5.51
CHEMBL4750683,,,463.53,0.0,4.29,71,O=C(Cc1ccc(O)cc1)N1CC(CNc2ccccc2)C2(C1)CN(c1cc(F)cc(F)c1)C2,IC50,'=',30.0,nM,7.52,,,UO_0000065,0,CHEMBL4737829,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-sensitive Plasmodium falciparum NF54 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,NF54,NF54,,NF54,7.52
CHEMBL4743418,,,399.54,0.0,4.44,"2-A, Single Enantiomer",Oc1ccc(CN2CC(CNc3ccccc3)C3(C2)CN(c2ccccc2)C3)cc1,IC50,'=',61.0,nM,7.21,,,UO_0000065,0,CHEMBL4737831,organism-based format,Erythrocyte,CHEMBL4732202,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against multidrug-resistant Plasmodium falciparum Dd2 transfected with GFP-Luc infected in human erythrocytes assessed as reduction in [3H]-hypoxanthine incorporation pretreated for 48 hrs followed by [3H]-hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,,,,Dd2,Dd2,,Dd2,7.21
CHEMBL530531,,,347.26,0.0,3.78,20505,CN(C)CCCNCc1ccc(-c2ccc(F)c(Cl)c2)o1.Cl,IC50,'=',2210.72,nM,5.66,,,UO_0000065,0,CHEMBL3301557,organism-based format,,CHEMBL3301555,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: Measure of pLDH activity as indication of parasite viability. Gametocytogenesis of 3D7 Plasmodium falciparum strain was induced in vitro and asexual parasites were depleted with N-acetylglucosamine. Gametocytes were treated with dihydroartemisinin, epoxomicin, methylene blue, primaquine, puromycin or chloroquine in 96-well plates and the pLDH activity was evaluated using a modified Makler protocol. Mosquito infectivity was measured by the standard membrane feeding assay. The IC50 value was extrapolated as the concentration that induced a 50% inhibition of gametocyte viability.",,,,3D7,3D7,,3D7,5.66
CHEMBL590683,,,432.91,1.0,5.43,665969,COc1cccc(C(=O)NC(c2ccc(C)cc2)c2cc(Cl)c3cccnc3c2O)c1,IC50,'=',3085.2,nM,5.51,,,UO_0000065,0,CHEMBL3301557,organism-based format,,CHEMBL3301555,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: Measure of pLDH activity as indication of parasite viability. Gametocytogenesis of 3D7 Plasmodium falciparum strain was induced in vitro and asexual parasites were depleted with N-acetylglucosamine. Gametocytes were treated with dihydroartemisinin, epoxomicin, methylene blue, primaquine, puromycin or chloroquine in 96-well plates and the pLDH activity was evaluated using a modified Makler protocol. Mosquito infectivity was measured by the standard membrane feeding assay. The IC50 value was extrapolated as the concentration that induced a 50% inhibition of gametocyte viability.",,,,3D7,3D7,,3D7,5.51
CHEMBL547825,,,495.07,0.0,4.07,19746,Cc1ccc(Cl)cc1N1CCN(CCCNC(=O)C2CCN(c3nc4ccccc4[nH]3)CC2)CC1,IC50,'=',1299.0,nM,5.89,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.89
CHEMBL527620,,,405.5,0.0,4.8,19758,COc1ccc(C(=O)Nc2ccc3nc(N4CCCCC4)cc(C)c3c2)cc1OC,IC50,'=',614.1,nM,6.21,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.21
CHEMBL581175,,,459.62,0.0,4.69,20439,CCn1c(CN2CCN(Cc3ccccc3)CC2)nc2cc(NC(=O)c3cccs3)ccc21,IC50,'=',468.1,nM,6.33,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.33
CHEMBL587083,,,249.75,0.0,2.91,20500,CNCCCNc1ccnc2cc(Cl)ccc12,IC50,'=',437.0,nM,6.36,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.36
CHEMBL4248315,,,304.82,0.0,3.69,22,Clc1ccccc1-c1ccc(CNCC2CCNCC2)o1,IC50,'=',5900.0,nM,5.23,,,UO_0000065,0,CHEMBL4231438,organism-based format,,CHEMBL4229360,1,Scientific Literature,Eur J Med Chem,,Gametocytocidal activity against Plasmodium falciparum 3D7 elo1-pfs16-CBG99 late-stage (4 to 5) gametocytes assessed as inhibition of parasite viability after 72 hrs by luciferase reporter assay,,,,3D7,3D7,,3D7,5.23
CHEMBL495813,,,299.41,0.0,3.3,3a,CC(C)N[C@@H](c1ccccc1)[C@H](CO)OCc1ccccc1,IC50,'=',45890.0,nM,4.34,,,UO_0000065,0,CHEMBL1004946,organism-based format,,CHEMBL1136969,1,Scientific Literature,J Med Chem,,Antiplasmodial activity after 48 hrs against chloroquine-sensitive Plasmodium falciparum D10 infected human erythrocytes by LDH reporter assay,,,,D10,D10,,D10,4.34
CHEMBL42338,,,475.47,0.0,2.49,45,Cl.Cl.c1cc(N2CCN(c3ccc(C4=NCCCN4)cc3)CC2)ccc1C1=NCCCN1,IC50,'=',106.0,nM,6.97,,,UO_0000065,0,CHEMBL926257,organism-based format,,CHEMBL1140635,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 by LDH reporter assay,,,,D6,D6,,D6,6.97
CHEMBL530887,,,309.39,0.0,3.11,19189,Cc1ccc2c(c1C)NC(=O)C21NN=C(c2ccccc2)S1,IC50,'=',900.0,nM,6.05,,,UO_0000065,0,CHEMBL3832784,organism-based format,,CHEMBL3832761,34,Medicines for Malaria Venture () Pathogen Box,,,Antimalarial activity: Gametocytes Plasmodium falciparum NF54 Gametocytes Stage V IC50 (uM),,,,NF54,NF54,,NF54,6.05
CHEMBL4438511,,,433.39,0.0,4.1,32,CCCCCC[n+]1c2c(n(CC(C)C)c1C)C(=O)c1ccccc1C2=O.[Br-],IC50,'=',143.0,nM,6.84,,,UO_0000065,0,CHEMBL4338838,organism-based format,,CHEMBL4334542,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against Plasmodium falciparum NF54 early gametocytes transfected with luciferase gene incubated for 48 hrs by luciferase reporter gene assay,,,,NF54,NF54,,NF54,6.84
CHEMBL4176570,,,462.61,0.0,0.45,5h,Clc1ccc2c(c1)-c1ccccc1[I+]2.O=S(=O)([O-])C(F)(F)F,IC50,'=',80.0,nM,7.1,,,UO_0000065,0,CHEMBL4146076,organism-based format,,CHEMBL4145448,1,Scientific Literature,Eur J Med Chem,,Growth inhibition of CQ-sensitive GFP-fused Plasmodium falciparum D10 after 90 hrs by ethidium bromide staining based flow cytometry,,,,D10,D10,,D10,7.1
CHEMBL537672,,,559.63,1.0,5.51,32,Cl.Cl.N=C(NC1CCCCC1)c1ccc(N2CCN(c3ccc(C(=N)NC4CCCCC4)cc3)CC2)cc1,IC50,'=',36.0,nM,7.44,,,UO_0000065,0,CHEMBL926257,organism-based format,,CHEMBL1140635,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 by LDH reporter assay,,,,D6,D6,,D6,7.44
CHEMBL540889,,,451.45,0.0,2.88,21,CCNC(=N)c1ccc(N2CCN(c3ccc(C(=N)NCC)cc3)CC2)cc1.Cl.Cl,IC50,'=',124.0,nM,6.91,,,UO_0000065,0,CHEMBL926257,organism-based format,,CHEMBL1140635,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 by LDH reporter assay,,,,D6,D6,,D6,6.91
CHEMBL495390,AZELAIC BIS HYDROXAMIC ACID,,218.25,0.0,0.73,ABHA,O=C(CCCCCCCC(=O)NO)NO,IC50,'=',5495.41,nM,5.26,,,UO_0000065,0,CHEMBL969264,organism-based format,,CHEMBL1157182,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum D6 after 48 hrs by LDH reporter assay,,,,D6,D6,,D6,5.26
CHEMBL1437888,,,440.55,0.0,4.76,667491,COc1ccc(C2c3ccc4ccccc4c3Oc3ncn(CCCN(C)C)c(=N)c32)cc1,IC50,'=',696.44,nM,6.16,,,UO_0000065,0,CHEMBL3301557,organism-based format,,CHEMBL3301555,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: Measure of pLDH activity as indication of parasite viability. Gametocytogenesis of 3D7 Plasmodium falciparum strain was induced in vitro and asexual parasites were depleted with N-acetylglucosamine. Gametocytes were treated with dihydroartemisinin, epoxomicin, methylene blue, primaquine, puromycin or chloroquine in 96-well plates and the pLDH activity was evaluated using a modified Makler protocol. Mosquito infectivity was measured by the standard membrane feeding assay. The IC50 value was extrapolated as the concentration that induced a 50% inhibition of gametocyte viability.",,,,3D7,3D7,,3D7,6.16
CHEMBL4172193,,,476.61,0.0,3.75,13,CN(C)Cc1ccn2c(-c3ccnc(NCC4CC4)n3)c(-c3cccc(S(C)(=O)=O)c3)nc2c1,IC50,'=',102.0,nM,6.99,,,UO_0000065,0,CHEMBL4149580,organism-based format,,CHEMBL4145579,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against mature gametocytes of Plasmodium falciparum 3D7 infected in mouse,,,,3D7,3D7,,3D7,6.99
CHEMBL36,PYRIMETHAMINE,4.0,248.72,0.0,2.52,Pyrimethamine,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,IC50,'=',8.0,nM,8.1,,,UO_0000065,0,CHEMBL4150765,organism-based format,,CHEMBL4145643,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against drug-sensitive Plasmodium falciparum 3D7 ring stage infected in human erythrocytes after 72 hrs by DAPI staining based method,,,,3D7,3D7,,3D7,8.1
CHEMBL4164782,,,520.62,2.0,6.26,5,Cc1c(O)c([C@H](CC(C)C)C2=C(O)C(C)(C)C(=O)C(C)(C)C2=O)c(O)c2c1O[C@H](c1ccccc1)CC2=O,IC50,'=',3200.0,nM,5.5,,,UO_0000065,0,CHEMBL4150765,organism-based format,,CHEMBL4145643,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against drug-sensitive Plasmodium falciparum 3D7 ring stage infected in human erythrocytes after 72 hrs by DAPI staining based method,,,,3D7,3D7,,3D7,5.49
CHEMBL585243,,,287.79,0.0,4.31,6558,Cc1cc(C)c2c(c1)OCN(Cc1ccccc1Cl)C2,IC50,'=',296.8,nM,6.53,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.53
CHEMBL549216,,,431.32,1.0,5.34,20651,O=C(Nc1ccc(CN2CCOCC2)cc1)c1ccc(-c2cc(Cl)ccc2Cl)o1,IC50,'=',1739.0,nM,5.76,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.76
CHEMBL2028045,,,519.98,2.0,5.52,396635,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc2nc(-c3ccc(Cl)s3)cc(C(F)(F)F)n2n1,IC50,'=',5173.0,nM,5.29,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.29
CHEMBL2028047,,,485.65,1.0,6.65,396663,Cc1sc(NC(=O)c2ccco2)c(C(c2cccnc2)N2CCC(Cc3ccccc3)CC2)c1C,IC50,'=',1335.0,nM,5.88,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.87
CHEMBL2028051,,,396.48,1.0,5.11,396672,O=C(NCC(c1ccsc1)N1CCCCCC1)c1ccc(C(F)(F)F)cc1,IC50,'=',466.7,nM,6.33,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.33
CHEMBL478169,,,446.55,0.0,1.93,NA121,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(NC4CCCCCC4)nc32)[C@H](O)[C@@H]1O,IC50,'=',6790.0,nM,5.17,,,UO_0000065,0,CHEMBL941604,organism-based format,,CHEMBL1137633,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against chloroquine and pyrimethamine-resistant Plasmodium falciparum K1 infected mice (Mus musculus) macrophage by reporter dye assay,,,,K1,K1,,K1,5.17
CHEMBL307261,,,284.35,0.0,2.19,Dihydroartemisinin,C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',0.43,nM,9.37,,,UO_0000065,0,CHEMBL4150766,organism-based format,,CHEMBL4145643,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against 4-aminoquinoline/antifolates-resistant Plasmodium falciparum Dd2 ring stage infected in human erythrocytes after 72 hrs by DAPI staining based method,,,,Dd2,Dd2,,Dd2,9.37
CHEMBL3798653,,,420.39,1.0,5.26,18,Cc1ccc(-c2ccc3ncc4[nH]c(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,IC50,'=',320.0,nM,6.5,,,UO_0000065,0,CHEMBL3800921,organism-based format,,CHEMBL3797182,1,Scientific Literature,Bioorg Med Chem Lett,,Gametocytocidal activity against chloroquine-sensitive late gametocytic stage (III to V) of Plasmodium falciparum 3D7 after 72 hrs by Alamar Blue assay,,,,3D7,3D7,,3D7,6.49
CHEMBL3797588,,,477.45,0.0,4.92,23,CC(=O)Nc1ccc(-c2ccc3ncc4c(c3c2)n(-c2cccc(C(F)(F)F)c2)c(=O)n4C)cn1,IC50,'=',42.0,nM,7.38,,,UO_0000065,0,CHEMBL3800921,organism-based format,,CHEMBL3797182,1,Scientific Literature,Bioorg Med Chem Lett,,Gametocytocidal activity against chloroquine-sensitive late gametocytic stage (III to V) of Plasmodium falciparum 3D7 after 72 hrs by Alamar Blue assay,,,,3D7,3D7,,3D7,7.38
CHEMBL3799000,,,422.37,0.0,4.65,24,O=c1[nH]c2cnc3ccc(-c4ccc(O)nc4)cc3c2n1-c1cccc(C(F)(F)F)c1,IC50,'=',4630.0,nM,5.33,,,UO_0000065,0,CHEMBL3800921,organism-based format,,CHEMBL3797182,1,Scientific Literature,Bioorg Med Chem Lett,,Gametocytocidal activity against chloroquine-sensitive late gametocytic stage (III to V) of Plasmodium falciparum 3D7 after 72 hrs by Alamar Blue assay,,,,3D7,3D7,,3D7,5.33
CHEMBL4172678,,,502.61,2.0,6.39,4,Cc1c(O)c2c(c3c1OC1=C(C(=O)C(C)(C)C(=O)C1(C)C)[C@H]3CC(C)C)O[C@H](c1ccccc1)CC2=O,IC50,'=',7200.0,nM,5.14,,,UO_0000065,0,CHEMBL4150765,organism-based format,,CHEMBL4145643,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against drug-sensitive Plasmodium falciparum 3D7 ring stage infected in human erythrocytes after 72 hrs by DAPI staining based method,,,,3D7,3D7,,3D7,5.14
CHEMBL35228,PYRONARIDINE,3.0,518.06,2.0,6.09,Pyronaridine,COc1ccc2nc3cc(Cl)ccc3c(Nc3cc(CN4CCCC4)c(O)c(CN4CCCC4)c3)c2n1,IC50,'=',18.0,nM,7.75,,,UO_0000065,0,CHEMBL4150766,organism-based format,,CHEMBL4145643,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against 4-aminoquinoline/antifolates-resistant Plasmodium falciparum Dd2 ring stage infected in human erythrocytes after 72 hrs by DAPI staining based method,,,,Dd2,Dd2,,Dd2,7.74
