Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,potency_label,Representative_pIC50,Flag resistance,Flag Groups,potency_bin,mol_freq,strain_freq,scaffold,umap_cluster
CHEMBL4974547,,,421.5,0.0,2.11,1700355,COc1ccc(-c2cc(C(=O)N[C@H]3CCN(c4ccc(=O)n(C)n4)C3)c(C)n2C)cc1,IC50,'=',1050.0,nM,5.98,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.98,inactive,5.71,,,5-6,4,4725,O=C(NC1CCN(c2ccc(=O)[nH]n2)C1)c1c[nH]c(-c2ccccc2)c1,-1
CHEMBL4948209,,,394.48,0.0,2.84,1702329,COc1ccc(CCNC(=O)c2cnn3c4c(cnc23)C[C@@H](C)CC4)cc1OC,IC50,'=',3020.0,nM,5.52,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.52,inactive,5.71,,,5-6,2,4725,O=C(NCCc1ccccc1)c1cnn2c3c(cnc12)CCCC3,-1
CHEMBL5011196,,,626.75,2.0,6.05,1707528,CCOC(=O)C1CCC(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2cc(C(=O)Nc3ccc(OCC)cc3)ccc2F)CC1,IC50,'=',5010.0,nM,5.3,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.3,inactive,5.2,,,5-6,2,4725,O=C(Nc1ccccc1)c1cccc(S(=O)(=O)N(Cc2ccccc2)CC2CCCCC2)c1,479
CHEMBL4908662,,,433.51,0.0,3.73,1710890,CCc1nc2cc(N3CCC(C(=O)Nc4ccc5c(c4)OCO5)CC3)cnc2nc1CC,IC50,'=',1290.0,nM,5.89,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.89,inactive,6.135,,,5-6,2,4725,O=C(Nc1ccc2c(c1)OCO2)C1CCN(c2cnc3nccnc3c2)CC1,390
CHEMBL4899689,,,529.62,1.0,4.7,1717682,CCc1cccc(NC(=O)N2CCC3(CC2)C(=O)N(CC(=O)Nc2ccc(F)cc2)CN3c2ccccc2)c1,IC50,'=',3020.0,nM,5.52,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.52,inactive,5.34,,,5-6,4,4725,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)Nc3ccccc3)CC2)C1=O)Nc1ccccc1,182
CHEMBL4993148,,,550.59,2.0,6.15,1721059,COc1ccc(-n2ncc(Oc3cccc(C)c3)c(Nc3cccc(C(=O)NCc4ccc(F)cc4)c3)c2=O)cc1,IC50,'=',3550.0,nM,5.45,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.45,inactive,5.345,,,5-6,3,4725,O=C(NCc1ccccc1)c1cccc(Nc2c(Oc3ccccc3)cnn(-c3ccccc3)c2=O)c1,-1
CHEMBL5027631,,,401.84,0.0,4.67,1721177,O=C(c1ccccc1F)N(Cc1nccn1Cc1c(F)cccc1Cl)C1CC1,IC50,'=',2750.0,nM,5.56,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.56,inactive,5.533333,,,5-6,3,4725,O=C(c1ccccc1)N(Cc1nccn1Cc1ccccc1)C1CC1,-1
CHEMBL4982236,,,512.65,2.0,5.22,1723349,CCOc1cccc(-c2ccc3nc(-c4cccc(OC)c4)c(CCC(=O)NCCN4CCCC4)n3c2)c1,IC50,'=',309.0,nM,6.51,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,6.51,active,6.51,,,6-7,5,4725,O=C(CCc1c(-c2ccccc2)nc2ccc(-c3ccccc3)cn12)NCCN1CCCC1,-1
CHEMBL4892558,,,284.79,0.0,3.22,1723746,Cc1noc(Cl)c1CC(=O)N1CCCC(C)(C)CC1,IC50,'=',2290.0,nM,5.64,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.64,inactive,5.33,,,5-6,4,4725,O=C(Cc1cnoc1)N1CCCCCC1,76
CHEMBL4976187,,,284.79,0.0,3.22,1724928,CC[C@@]1(C)CCCN(C(=O)Cc2c(C)noc2Cl)C1,IC50,'=',1510.0,nM,5.82,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.82,inactive,5.523333,,,5-6,4,4725,O=C(Cc1cnoc1)N1CCCCC1,76
CHEMBL4893033,,,333.36,0.0,2.41,1728453,Cc1[nH]c2ncnc(NC(=O)c3cccc(-n4ccnn4)c3)c2c1C,IC50,'=',8130.0,nM,5.09,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.09,inactive,5.09,,,5-6,1,4725,O=C(Nc1ncnc2[nH]ccc12)c1cccc(-n2ccnn2)c1,-1
CHEMBL4923809,,,370.38,0.0,1.64,1697911,COc1nc(-c2cccc(C(=O)N3C[C@@H]4CC[C@H](C3)C(=O)N4)c2)ncc1F,IC50,'=',478.6,nM,6.32,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,6.32,active,6.205,,,6-7,2,4725,O=C1NC2CCC1CN(C(=O)c1cccc(-c3ncccn3)c1)C2,-1
CHEMBL4966999,,,802.28,2.0,7.23,1698260,CCN(CC)CC(O)COc1c(Br)cc(C(C)(C)c2cc(Br)c(OCC(O)CN(CC)CC)c(Br)c2)cc1Br,IC50,'=',602.6,nM,6.22,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,6.22,active,6.01,,,6-7,4,4725,c1ccc(Cc2ccccc2)cc1,-1
CHEMBL4941229,,,441.92,1.0,5.55,1701383,Cc1ccc(C2=C[C@@H](c3ccc(Cl)cc3)n3nc(NC(=O)c4ccccc4)nc3N2)cc1,IC50,'=',1740.0,nM,5.76,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.76,inactive,5.63,,,5-6,4,4725,O=C(Nc1nc2n(n1)C(c1ccccc1)C=C(c1ccccc1)N2)c1ccccc1,155
CHEMBL4996894,,,494.55,0.0,4.06,1701901,C[C@@]1(C(=O)NCc2ccccc2)Cn2nc(-c3ccccc3)cc2C(=O)N1c1ccc2c(c1)OCCO2,IC50,'=',2240.0,nM,5.65,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.65,inactive,5.373333,,,5-6,4,4725,O=C(NCc1ccccc1)C1Cn2nc(-c3ccccc3)cc2C(=O)N1c1ccc2c(c1)OCCO2,387
CHEMBL4918172,,,377.37,0.0,3.42,1703702,COc1ccc(CC(=O)NCCn2c(C(F)(F)F)nc3ccccc32)cc1,IC50,'=',2570.0,nM,5.59,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.59,inactive,5.69,,,5-6,2,4725,O=C(Cc1ccccc1)NCCn1cnc2ccccc21,373
CHEMBL4892774,,,434.47,0.0,4.02,1703729,CCn1cc(-c2nc(-c3ccccc3C)no2)c(=O)c2cc(F)c(N3CCOCC3)cc21,IC50,'=',3550.0,nM,5.45,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.45,inactive,5.3,,,5-6,3,4725,O=c1c(-c2nc(-c3ccccc3)no2)c[nH]c2cc(N3CCOCC3)ccc12,-1
CHEMBL318205,,,439.95,0.0,3.31,9,CN1CCN(CC(=O)Nc2cc(CO)cc(Nc3ccnc4cc(Cl)ccc34)c2)CC1,IC50,'=',344.0,nM,6.46,,,UO_0000065,0,CHEMBL761303,organism-based format,,CHEMBL1134569,1,Scientific Literature,J Med Chem,,Inhibitory activity against chloroquine-resistant Plasmodium falciparum FcB1R,FcB1-R,6.46,active,6.46,chloroquine resistant,CQR,6-7,1,214,O=C(CN1CCNCC1)Nc1cccc(Nc2ccnc3ccccc23)c1,139
CHEMBL415499,,,580.09,2.0,6.96,36,O=C(CN1CCCCC1)Nc1cc(COC(=O)c2ccnc3ccccc23)cc(Nc2ccnc3cc(Cl)ccc23)c1,IC50,'=',25.6,nM,7.59,,,UO_0000065,0,CHEMBL761303,organism-based format,,CHEMBL1134569,1,Scientific Literature,J Med Chem,,Inhibitory activity against chloroquine-resistant Plasmodium falciparum FcB1R,FcB1-R,7.59,high_potency,7.59,chloroquine resistant,CQR,≥7,1,214,O=C(CN1CCCCC1)Nc1cc(COC(=O)c2ccnc3ccccc23)cc(Nc2ccnc3ccccc23)c1,139
CHEMBL4930084,,,259.38,0.0,2.33,1646750,Nc1nc2c(s1)CN(CCc1ccccc1)CC2,IC50,'=',3980.0,nM,5.4,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.4,inactive,5.28,,,5-6,3,4725,c1ccc(CCN2CCc3ncsc3C2)cc1,430
CHEMBL4927288,,,521.46,1.0,2.43,1647756,CN(C)CC(O)COc1ccc(S(=O)(=O)c2ccc(OCC(O)CN(C)C)c(Cl)c2)cc1Cl,IC50,'=',1510.0,nM,5.82,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.82,inactive,5.61,,,5-6,4,4725,O=S(=O)(c1ccccc1)c1ccccc1,-1
CHEMBL4991465,,,379.42,0.0,2.63,1647959,CCN1C(=O)c2ccccc2N2C(=O)CC[C@@]12C(=O)Nc1cccc(OC)c1,IC50,'=',1000.0,nM,6.0,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,6.0,active,5.88,,,5-6,4,4725,O=C1NC2(C(=O)Nc3ccccc3)CCC(=O)N2c2ccccc21,418
CHEMBL5007278,,,586.65,2.0,5.6,1648036,COc1ccc(CNC(=O)c2ccc(N3C(=O)[C@@H]4Cc5c([nH]c6ccccc56)C(c5cccc(OC)c5)N4C3=O)cc2)cc1,IC50,'=',3160.0,nM,5.5,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.5,inactive,5.33,,,5-6,3,4725,O=C(NCc1ccccc1)c1ccc(N2C(=O)C3Cc4c([nH]c5ccccc45)C(c4ccccc4)N3C2=O)cc1,90
CHEMBL1532367,,,230.19,0.0,-0.37,1648130,CCOC(=O)CCn1cc(F)c(=O)[nH]c1=O,IC50,'=',26.9,nM,7.57,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,7.57,high_potency,7.36,,,≥7,2,4725,O=c1cc[nH]c(=O)[nH]1,-1
CHEMBL4954470,,,519.72,1.0,4.74,1649381,CCC(CC)c1cc([C@H]2CN3CC[C@H]2C[C@@H]3CNS(=O)(=O)Cc2ccccc2)nc(-c2ccncc2)n1,IC50,'=',2040.0,nM,5.69,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.69,inactive,5.486667,,,5-6,4,4725,O=S(=O)(Cc1ccccc1)NCC1CC2CCN1CC2c1ccnc(-c2ccncc2)n1,392
CHEMBL4970694,,,499.4,0.0,2.87,1734041,N#Cc1cc(S(=O)(=O)NCCN(C2CC2)S(=O)(=O)c2ccc(Cl)c(C#N)c2)ccc1Cl,IC50,'=',2040.0,nM,5.69,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.69,inactive,5.573333,,,5-6,5,4725,O=S(=O)(NCCN(C1CC1)S(=O)(=O)c1ccccc1)c1ccccc1,80
CHEMBL260359,,,647.89,2.0,7.41,17a,CCCNCCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCCCC1)OO5,IC50,'=',11.1,nM,7.96,,,UO_0000065,0,CHEMBL925911,organism-based format,,CHEMBL1142398,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum W2,W2,7.95,high_potency,7.95,,,≥7,3,5923,C1CCC2(CC1)OOC1(CCC3C(CCC4C5CCCC5CCC34)C1)OO2,-1
CHEMBL94855,,,299.76,0.0,3.71,1,Nc1cc(CO)cc(Nc2ccnc3cc(Cl)ccc23)c1,IC50,'=',278.9,nM,6.55,,,UO_0000065,0,CHEMBL761303,organism-based format,,CHEMBL1134569,1,Scientific Literature,J Med Chem,,Inhibitory activity against chloroquine-resistant Plasmodium falciparum FcB1R,FcB1-R,6.55,active,6.55,chloroquine resistant,CQR,6-7,1,214,c1ccc(Nc2ccnc3ccccc23)cc1,410
CHEMBL96938,,,521.11,2.0,5.24,42,O=C(CN1CCCCC1)Nc1cc(CNCCN2CCCC2)cc(Nc2ccnc3cc(Cl)ccc23)c1,IC50,'=',6.6,nM,8.18,,,UO_0000065,0,CHEMBL761303,organism-based format,,CHEMBL1134569,1,Scientific Literature,J Med Chem,,Inhibitory activity against chloroquine-resistant Plasmodium falciparum FcB1R,FcB1-R,8.18,high_potency,8.065,chloroquine resistant,CQR,≥7,4,214,O=C(CN1CCCCC1)Nc1cc(CNCCN2CCCC2)cc(Nc2ccnc3ccccc23)c1,139
CHEMBL343277,,,270.3,0.0,4.12,39,CCOc1ccc(C(=O)/C=C/c2ccc(F)cc2)cc1,IC50,'=',24100.0,nM,4.62,,,UO_0000065,0,CHEMBL880957,organism-based format,,CHEMBL1134841,1,Scientific Literature,J Med Chem,,Inhibition of [3H]hypoxanthine incorporation in Plasmodium falciparum K1,K1,4.62,inactive,4.62,,,≤5,1,5948,O=C(C=Cc1ccccc1)c1ccccc1,515
CHEMBL139035,,,241.25,0.0,2.39,207,O=C(/C=C/c1ccccn1)c1ccc(O)cc1O,IC50,'=',19700.0,nM,4.71,,,UO_0000065,0,CHEMBL880957,organism-based format,,CHEMBL1134841,1,Scientific Literature,J Med Chem,,Inhibition of [3H]hypoxanthine incorporation in Plasmodium falciparum K1,K1,4.71,inactive,4.71,,,≤5,1,5948,O=C(C=Cc1ccccn1)c1ccccc1,-1
